FID,GEONAME,GENERIC,X,Y
4748,Longview Mountain,Mountain,-116.9377778,52.3719443999999
4749,Lonira,Locality,-115.4780556,54.0808333
4750,Looking Back Lake,Lake,-113.1488889,53.3169444999999
4751,Lookout Butte,Butte,-113.559722199999,49.7244444
4752,Lookout Creek,Creek,-116.317499999999,52.6152778
4753,Looma,Locality,-113.250833299999,53.3577777
4754,Loomis Creek,Creek,-114.785555599999,50.4669444
4755,Loomis Lake,Lake,-114.904722199999,50.4533332999999
4756,Loon Creek,Creek,-112.611944399999,56.325
4757,Loon Lake,Lake,-113.893888899999,49.045
4758,Loon Lake,Hamlet,-115.393888899999,56.5388889
4759,Loon Lake,Lake,-113.1958333,59.6083332999999
4760,Loon Lake,Lake,-115.4325,56.5294444999999
4761,Loon Lake,Lake,-110.4966667,52.7849999999999
4762,Loon Lake 235,Indian Reserve,-115.368704699999,56.5377117999999
4763,Loon Prairie 237,Indian Reserve,-115.397491799999,56.828218
4764,Loon River,River,-115.0461111,57.1266666
4765,Loop Creek,Creek,-112.114999999999,59.5966667
4766,Loop Ridge,Ridge,-114.7475,49.6183333
4767,Lorelei,Urban Community,-113.50139,53.625
4768,Loren Pass,Pass,-119.810277799999,53.4997222
4769,Lorette Creek,Creek,-115.1183333,50.9630555
4770,Lorna Island,Island,-111.471388899999,57.6258332999999
4771,Lorraine,Locality,-111.58333,52.333333
4772,Lorraine Lake,Lake,-117.6686111,52.7299999999999
4773,Loseman Lake,Lake,-110.4361111,54.9052778
4774,Lost Creek,Creek,-110.874722199999,49
4775,Lost Creek,Creek,-114.437222199999,49.4341665999999
4776,Lost Creek,Creek,-117.009221999999,53.162194
4777,Lost Creek,Creek,-115.9536111,53.7333333999999
4778,Lost Creek,Creek,-114.6691667,50.2619443999999
4779,Lost Guide Creek,Creek,-115.814444399999,51.8644444999999
4780,Lost Guide Lake,Lake,-115.932777799999,51.905
4781,Lost Hope Creek,Creek,-116.3219444,55.0383332999999
4782,Lost Horse Creek,Creek,-115.8736111,51.1919443999999
4783,Lost Horse Creek,Creek,-113.997222199999,49.1155556
4784,Lost Knife Creek,Creek,-114.9825,51.3638888999999
4785,Lost Lake,Lake,-114.1458333,49.1469444999999
4786,Lost Lake,Lake,-116.275277799999,51.4741665999999
4787,Lost Lake,Lake,-114.694999999999,51.4408333
4788,Lost Lake,Lake,-112.3013889,50.1477778
4789,Lost Mountain,Mountain,-114.087222199999,49.1266667
4790,Lost River,River,-110.440583,49
4791,Lostpoint Lake,Lake,-113.280833299999,53.88
4792,Lothrop,Locality,-118.1308333,55.9563889
4793,Lott Creek,Creek,-114.218888899999,51.0055555
4794,Lottie Lake,Lake,-111.5847222,54.0591666999999
4795,Loudon Creek,Creek,-116.433611099999,52.0166667
4796,Lougheed,Village,-111.542777799999,52.7444443999999
4797,Louis Bull 138B,Indian Reserve,-113.563888899999,52.8919444
4798,Louis Lake,Lake,-113.086944399999,53.1755556
4799,Louis Lake,Lake,-115.1266667,52.4122222
4800,Louis Lake,Lake,-110.8091667,53.7177778
4801,Louise Creek,Creek,-116.1788889,51.4236111
4802,Louise Creek,Creek,-115.569166699999,54.5874999999999
4803,Louise River,River,-112.885,57.6980555
4804,Louisiana Lakes,Lakes,-111.601666699999,50.5369444999999
4805,Lousana,Hamlet,-113.189999999999,52.1127778
4806,Loutit Lake,Lake,-110.8569444,58.9780555999999
4807,Lovet Creek,Creek,-118.256944399999,56.9047222
4808,Lovett River,River,-116.6394444,52.9861111
4809,Lovettville,Former Locality,-116.683329999999,53.0333329999999
4810,Low Water Lake,Lake,-113.961944399999,53.8038888999999
4811,Lowden Lake,Lake,-112.6891667,52.1438889
4812,Lowe Lake,Lake,-119.1777778,55.3261110999999
4813,Lowen Lake,Lake,-119.625555599999,55.1941666999999
4814,Lower Bertha Falls,Falls,-113.926666699999,49.0352778
4815,Lower Colefair Lake,Lake,-117.8716667,52.7299999999999
4816,Lower Kakwa Falls,Falls,-119.7,54.0925
4817,Lower Kananaskis Lake,Lake,-115.1369444,50.6561110999999
4818,Lower Longview Lake,Lake,-116.926666699999,52.3758333999999
4819,Lower Mann Lake,Lake,-111.5,54.1666667
4820,Lower Mons Lake,Lake,-116.703888899999,52.6272221999999
4821,Lower Mount Royal,Urban Community,-114.08611,51.0375
4822,Lower Rowe Lake,Lake,-114.050833299999,49.0541667
4823,Lower Spray Falls,Falls,-115.251944399999,51.0316667
4824,Lower Stony Creek,Creek,-114.754444399999,51.9277777
4825,Lower Th̩rien Lake,Lake,-111.3786111,53.9383332999999
4826,Lower Waterton Lake,Lake,-113.8533333,49.0925
4827,Loyalist,Locality,-110.9544444,51.9858333999999
4828,Loyalist Creek,Creek,-110.6219444,51.9663888999999
4829,Loyalist Creek Reservoir,Reservoir,-111.0077778,51.9686110999999
4830,Lubicon Lake,Locality,-115.865555599999,56.3691666
4831,Lubicon Lake,Lake,-115.961666699999,56.3741667
